"index","record_letter_count_mean","record_letter_count_ci_lower","record_letter_count_ci_upper","accuracy_mean","accuracy_ci_lower","accuracy_ci_upper","precision_mean","precision_ci_lower","precision_ci_upper","recall_mean","recall_ci_lower","recall_ci_upper","f1_mean","f1_ci_lower","f1_ci_upper","sensitivity_mean","sensitivity_ci_lower","sensitivity_ci_upper","specificity_mean","specificity_ci_lower","specificity_ci_upper","jaccard_mean","jaccard_ci_lower","jaccard_ci_upper","kappa_mean","kappa_ci_lower","kappa_ci_upper"
"all",446.2,333.139594022901,559.260405977099,0.965,0.950704713793771,0.979295286206229,0.869166666666667,0.776948097550736,0.961385235782597,0.623880147630148,0.499638114003121,0.748122181257175,0.65893772163509,0.547110343198807,0.770765100071373,0.623880147630148,0.499638114003121,0.748122181257175,0.993423251042567,0.987688269895527,0.999158232189608,0.589331536519036,0.464519318141662,0.714143754896411,0.647206777870736,0.531874336053698,0.762539219687775
"Symptoms",481.652173913043,317.008667894811,646.295679931276,0.961222091656874,0.94042644033284,0.982017742980909,0.5,0.285978931526365,0.714021068473635,0.454347826086957,0.251214077370109,0.657481574803804,0.458074534161491,0.254544062525681,0.661605005797301,0.454347826086957,0.251214077370109,0.657481574803804,0.98749421358117,0.97306933577856,1.00191909138378,0.4351966873706,0.22941249298481,0.640980881756391,0.447632131723704,0.241625879188199,0.653638384259208
"Examinations",530.095238095238,341.177168942636,719.013307247841,0.908571428571429,0.858993121067623,0.958149736075234,0.619047619047619,0.392536737121179,0.845558500974059,0.467649281934996,0.256717184424298,0.678581379445695,0.499433106575964,0.28897335307386,0.709892860078067,0.467649281934996,0.256717184424298,0.678581379445695,0.988405797101449,0.978092138012256,0.998719456190642,0.467649281934996,0.256717184424298,0.678581379445695,0.484438385275719,0.271709899638392,0.697166870913045
"Procedures",344.181818181818,213.594641781078,474.768994582559,0.924901185770751,0.888625620763323,0.961176750778179,0.831168831168831,0.666885751010403,0.995451911327259,0.563636363636364,0.376433938611061,0.750838788661666,0.597691197691198,0.43043829629854,0.764944099083856,0.563636363636364,0.376433938611061,0.750838788661666,0.989177489177489,0.96667084583628,1.0116841325187,0.531168831168831,0.347407452013027,0.714930210324635,0.574540067727771,0.401435908085756,0.747644227369786
